D1,D2,D3,Eta_arrivo_Italia,D7,D8,D9,D9b,D10,D11,D12,D20a,D23,D25,D26,D27a,D27b,D29,D32,D35a,D35b,D35c,D35d,D35e,D35f,D35g,D36
2,1976,1,27,436,1,5,3,3,1,3,0,1,1,900,100,100,40,900,1,2,1,2,2,2,2,1
2,1976,1,24,201,2,6,1,5,1,1,1,1,3,2500,500,500,40,1200,1,2,1,2,1,2,2,1
2,1968,1,33,201,2,5,2,3,1,3,2,1,4,1900,0,0,40,700,1,2,2,2,2,2,2,1
2,1969,1,28,201,2,6,1,5,1,3,1,2,3,2600,0,0,20,700,1,1,1,2,1,2,2,1
2,1955,1,58,209,2,5,3,2,3,2,3,1,1,1200,700,700,40,1200,2,2,2,2,2,2,2,2
1,1976,1,27,201,2,5,3,3,1,3,1,1,3,2600,0,300,40,1600,1,1,1,2,1,2,2,1
1,1977,1,29,330,2,5,2,3,8,3,2,1,4,1800,0,0,40,1800,1,2,2,2,2,2,2,1
2,1979,1,28,254,1,5,3,5,3,3,0,98,1,1200,50,50,40,1200,1,2,1,2,1,2,2,1
1,1976,1,28,201,2,6,1,5,1,3,1,1,3,3000,500,500,40,1600,1,1,1,2,1,2,2,1
2,1976,1,30,235,2,5,3,4,3,2,2,1,4,2000,0,50,10,400,1,1,1,2,2,2,2,1
2,1980,1,27,235,1,5,3,5,3,2,0,2,2,3000,200,200,40,1500,1,2,1,2,2,2,2,1
2,1986,1,21,235,2,5,3,4,3,2,2,1,4,2000,0,0,40,900,1,2,1,2,2,2,2,1
1,1991,1,19,323,1,3,2,5,2,3,0,98,5,2000,0,250,40,900,1,1,2,1,2,2,2,2
1,1970,1,32,401,2,1,,5,1,3,2,1,3,2050,100,200,40,1400,1,2,2,1,2,2,2,1
2,1975,1,38,411,2,5,,4,5,8,2,1,1,300,0,0,28,300,2,2,2,2,2,2,2,2
2,1979,1,26,411,1,5,2,5,5,3,1,98,3,200,0,0,5,200,1,1,1,2,2,2,2,1
2,1980,1,28,436,2,4,4,4,1,3,3,1,4,700,0,0,10,150,1,1,2,2,2,2,2,1
1,1976,1,28,409,1,3,3,3,1,4,1,1,4,1900,200,200,30,900,1,2,2,2,2,2,2,2
1,1969,1,35,450,2,2,3,4,1,3,4,1,1,1200,300,300,40,1200,1,2,2,2,2,2,2,1
2,1986,1,29,401,2,5,2,2,1,4,0,1,2,1900,150,300,20,600,1,2,2,2,2,2,2,2
1,1973,1,26,423,4,3,4,5,2,3,2,1,6,1500,200,250,40,1500,1,2,2,2,2,2,2,1
